State,Park,Recreation Visitors,Percent Change,ConcessionerLodgingOvernights,ConcessionerLodgingOvernightsPercentChange,ConcessionerCampingOvernights,ConcessionerCampingOvernightsPercentChange,TentOvernights,TentOvernightPercentChange,RecreationVehicleOvernights,RecreationVehicleOvernightsPercentChange,BackcountryOvernights,BackcountryOvernightsPercentChange
Alaska,Kenai Fjords National Park ,356601,0.1088,0,,0,,1076,-0.0037,0,,566,-0.1627
Alaska,Kobuk Valley National Park,15766,0.0555,0,,0,,0,,0,,7050,0.0000
Arizona,Grand Canyon National Park,5974411,-0.0636,575922,-0.1326,47401,0.2208,120208,-0.1352,63565,-0.0652,320032,-0.0526
Arizona,Petrified Forest National Park,643588,-0.0021,0,,0,,0,,0,,1451,0.2444
Arizona,Saguaro National Park,1020226,0.0656,0,,0,,0,,0,,2185,0.0617
Arkansas,Hot Springs National Park,1467153,-0.0264,0,,0,,1455,0.1800,24251,0.0678,0,
California,Channel Islands National Park,409630,0.1184,0,,0,,0,,0,,23411,0.0908
California,Death Valley National Park,1740945,0.0371,27759,-0.1642,4360,0.7111,74511,-0.0565,97574,0.0001,1915,0.2896
California,Joshua Tree National Park,2988547,0.0157,0,,0,,232300,0.0453,78192,0.0641,18184,-0.0645
California,Kings Canyon National Park,632110,-0.0957,57092,-0.0251,0,,103643,-0.0981,32589,-0.1861,15650,-0.3445
California,Lassen Volcanic National Park,517039,0.0352,5487,0.5592,2154,,56856,-0.0482,29916,0.0670,6685,-0.0867
California,Pinnacles National Park,177224,-0.2022,0,,0,,0,,0,,0,
California,Redwood National Park,504722,0.0460,0,,0,,2721,-0.2668,0,,3276,-0.1881
California,Sequoia National Park,1246053,0.0134,69616,-0.0604,0,,133088,-0.0690,68679,-0.1256,29871,-0.2115
California,Yosemite National Park,4422861,0.1031,682273,0.0428,0,,469585,0.3234,211948,-0.1840,155578,0.2489
Colorado,Black Canyon of the Gunnison National Park,432818,0.4009,0,,0,,17796,-0.0886,12273,-0.0206,1861,-0.1087
Colorado,Mesa Verde National Park,556203,-0.0128,21489,-0.0078,0,,33621,0.0056,26110,0.0674,0,
Colorado,Rocky Mountain National Park,4670053,0.0173,0,,0,,112791,-0.0435,64809,-0.0874,41213,-0.1201
Florida,Biscayne National Park,708522,0.5099,0,,0,,238,-0.8877,0,,0,
Florida,Dry Tortugas National Park,79200,0.3941,0,,0,,6786,0.3765,0,,0,
Florida,Everglades National Park,1118300,0.8728,0,,26901,2.1873,0,,0,,12732,1.8996
Hawaii,Haleakala National Park,994394,-0.0476,0,,0,,9071,0.2597,0,,1616,-0.4381
Hawaii,Hawaii Volcanoes National Park,1368376,0.2252,23558,0.6380,4509,1.1339,1091,1.2175,41,5.8333,3658,0.7054
Indiana,Indiana Dunes National Park,2134285,0.2154,0,,0,,16316,0.2260,6468,0.4067,0,
Kentucky,Mammoth Cave National Park,551590,0.0345,28260,1.0262,0,,36695,-0.0539,10741,-0.1902,3182,-0.5952
